abandon/’bndn/ vt.丢弃;放弃，抛弃
conversation/knv’sein/ n.会话，非正式会谈
conversely/‘knv:sli/ ad.相反地
conversion/kn’v:n/ n.转变，转化;改变
convert/kn’v:t,‘knv:t/ vt.使转变;使改变
convey/kn’vei/ vt.传送;运送;传播
convince/kn’vins/ vt.使确信，使信服
cook/kuk/ vt.烹调，煮vt.烧菜
cool/ku:l/ a.凉的，冷静的
cooperate/ku’preit/ vi.合作，协作;配合
coordinate/ku’dinit/ vt.使协调，调节
cope/kup/ vi.对付，应付
copper/‘kp/ n.铜;铜币，铜制器
copy/‘kpi/ n.抄件vt.抄写，复制
cord/k:d/ n.细绳，粗线，索
core/k:/ n.果实的心，核心
corn/k:n/ n.谷物;(英)小麦
corner/‘k:n/ n.角;犄角;边远地区
corporation/k:p’rein/ n.公司，企业;社团
correct/k’rekt/ a.正确的vt.纠正
correspond/kris’pnd/ vi.相符合;相当
corresponding/kris’pndi/ a.相应的;符合的
corridor/‘krid:/ n.走廊，回廊，通路
cost/kst/ n.价格，代价;成本
costly/‘kstli/ a.昂贵的;价值高的
cottage/‘ktid/ n.村舍，小屋
cotton/‘ktn/ n.棉;棉线;棉布
cough/kf/ vi.咳，咳嗽n.咳嗽
could/kud,kd/ aux.v.(can的过去式)
council/‘kaunsil/ n.理事会，委员会
count/kaunt/ vt.计算vi.数，计数
counter/‘kaunt/ n.柜台;计数器
country/‘kΛntri/ n.国家，国土;农村
countryside/‘kΛntrisaid/ n.乡下，农村
county/‘kaunti/ n.英国的郡，美国的县
couple/‘kΛpl/ n.夫妇;(一)对;几个
courage/‘kΛrid/ n.勇气，胆量，胆识
course/k:s/ n.课程;过程;一道菜
court/k:t/ n.法院，法庭;庭院
cousin/‘kΛzn/ n.堂(或表)兄弟(姐妹)
cover/‘kΛv/ vt.盖，包括n.盖子
cow/kau/ n.母牛，奶牛;母兽
crack/krk/ n.裂缝，裂纹vi.爆裂
craft/kra:ft/ n.工艺;手艺，行业
crane/krein/ n.起重机，摄影升降机
crash/kr/ vi.碰撞，坠落n.碰撞
crawl/kr:l/ vi.爬，爬行
crazy/‘kreizi/ a.疯狂的，荒唐的
cream/kri:m/ n.奶油，乳脂;奶油色
create/kri(:)’eit/ vt.创造;引起，产生
creative/kri(:)’eitiv/ a.创造性的，创作的
creature/‘kri:t/ n.生物，动物，家畜
credit/‘kredit/ n.信用贷款;信用
creep/kri:p/ vi.爬行;缓慢地行进
crew/kru:/ n.全体船员
crime/kraim/ n.罪，罪行;犯罪
criminal/‘kriminl/ n.犯人，罪犯，刑事犯
crisis/‘kraisis/ n.危机;存亡之际
critic/‘kritik/ n.批评家，爱挑剔的人
critical/‘kritikl/ a.决定性的;批评的
criticism/‘kritisizm/ n.批评;批判;评论
criticize/‘kritisaiz/ vt.批评;评论;非难
crop/krp/ n.农作物，庄稼;一熟
cross/krs/ vt.穿过;使交叉
crowd/kraud/ n.群;大众;一伙人
crown/kraun/ n.王冠，冕;花冠
crude/kru:d/ a.简陋的;天然的
cruel/‘krul/ a.残忍的，残酷的
crush/krΛ/ vt.压碎，碾碎;镇压
crust/krΛst/ n.面包皮;硬外皮
cry/krai/ vi.哭，哭泣;叫喊
crystal/‘kristl/ n.水晶，结晶体;晶粒
cube/kju:b/ n.立方形;立方
cubic/‘kju:bik/ a.立方形的;立方的
cultivate/‘kΛltiveit/ vt.耕;种植;培养
culture/‘kΛlt/ n.文化，文明;教养
cup/kΛp/ n.杯子;(一)杯;奖杯
cupboard/‘kΛbd/ n.碗柜，碗碟橱;食橱
cure/kju/ vt.医治;消除n.治愈
curiosity/kjuri’ositi/ n.好奇，好奇心;珍品
curious/‘kjuris/ a.好奇的;稀奇古怪的
current/‘kΛrnt/ a.当前的;通用的
curse/k:s/ n.诅咒，咒骂;天谴
curtain/‘k:tn/ n.帘，窗帘;幕(布)
curve/k:v/ n.曲线;弯vt.弄弯
cushion/‘kun/ n.垫子，坐垫，靠垫
custom/‘kΛstm/ n.习惯，风俗;海关
customer/‘kΛstm/ n.顾客，主顾
cut/kΛt/ vt.切，割，剪;减少
cycle/‘saikl/ n.自行车，循环
daily[‘deili] a.每日的n.日报
dairy[‘dri] n.牛奶场;乳制品
dam[dm] n.水坝,水堤;障碍物
damage[‘dmid] vt.损害,毁坏n.损害
damp[dmp] a.潮湿的,有湿气的
dance[dɑ:ns] vi.跳舞;摇晃n.舞
danger[‘deind] n.危险;危险事物
dangerous[‘deindrs] a.危险的,不安全的
dare[d] vt.&aux.v.敢;竟敢
daring[‘der] a.大胆的,勇敢的
dark[dɑ:k] a.暗的;黑色的
darling[‘dɑ:li] n.亲爱的人;宠儿
dash[d] vt.使猛撞;溅n.猛冲
data[‘deit] n.数据;资料
date[deit] n.日期vt.注…日期
daughter[‘d:t] n.女儿
dawn[d:n] n.黎明;开端vi.破晓
day[dei] n.(一)天,白昼,白天
daylight[‘deilait] n.白昼,日光;黎明
dead[ded] a.死的,无生命的
deadly[‘dedli] a.致命的,死一般的
deaf[def] a.聋的;不愿听的
deal[di:l] n.买卖;待遇vt.给予
dear[di] a.亲爱的int.啊
death[deθ] n.死,死亡;灭亡
debate[di’beit] n.&vi.争论,辩论
debt[det] n.债,债务,欠债
decade[‘dekeid，d’ked] n.十年,十年期
decay[di’kei] vi.腐烂;衰败n.腐烂
deceit[di’si:t] n.欺骗,欺诈
deceive[di’si:v] vt.欺骗,蒙蔽,行骗
December[di’semb] n.十二月
decent[‘di:snt，’disnt] a.正派的;体面的
decide[di’said] vt.决定,决心;解决
decision[di’sin] n.决定,决心;果断
deck[dek] n.甲板;舱面;层面
declare[di’kl] vt.断言;声明;表明
decorate[‘dekreit] vt.装饰,装璜,修饰
decrease[di:’kri:s] vi.&n.减少,减少
deduce[di’dju:s] vt.演绎,推论,推断
deed[di:d] n.行为;功绩;契约
deep[di:p] a.深的;纵深的
deepen[‘di:pn] vt.加深vi.深化
deer[di] n.鹿
defeat[di’fi:t] vt.战胜,击败;挫败
defect[di’fekt] n.缺点,缺陷,欠缺
defence[di’fens] n.防御;防务;辩护
defend[di’fend] vt.保卫,防守
define[di’fain] vt.给…下定义;限定
definite[‘definit] a.明确的;肯定的
definitely[‘definitli] ad.一定地,明确地
definition[defi’nin] n.定义,释义;定界
degree[di’ɡri:] n.程度;度;学位
delay[di’lei] vt.推迟;耽搁;延误
[di’li:t] vt.删除;擦掉
delegation[del’gen] n.代表团
delicate[‘delikit] a.纤细的;易碎的
delicious[di’lis] a.美味的,怡人的
delight[di’lait] n.快乐vt.使高兴
deliver[di’liv] vt.投递,送交;发表
delivery[di’livri] n.投递;交付;分娩
demand[di’mɑ:nd] vt.要求;需要;询问
democracy[di’mkrsi] n.民主,民主制
democratic[dem’krtik] a.民主的,民主政体的
demonstrate[‘demnstreit] vt.说明;论证;表露
dense[dens] a.密集的;浓厚的
density[‘densiti] n.密集,稠密;密度
deny[di’nai] vt.否定;拒绝相信
depart[di’pɑ:t] vi.离开,起程;出发
department[di’pɑ:tmnt] n.部,司,局,处,系
departure[di’pɑ:t，d’pɑt(r)] n.离开,出发,起程
depend[di’pend] vi.依靠,依赖;相信
dependent[di’pendnt] a.依靠的,依赖的
deposit[di’pzit] vt.使沉淀;存放
depress[di’pres] vt.使沮丧;按下
depth[depθ] n.深度;深厚;深处
derive[di’raiv] vt.取得vi.起源
descend[di’send] vi.下来,下降;下倾
describe[dis’kraib] vt.形容;描写,描绘
description[dis’kripn] n.描写,形容;种类
desert[‘dezt] n.沙漠vt.离弃;擅离
deserve[di’z:v] vt.应受,值得
design[di’zain] vt.设计n.设计;图样
desirable[di’zairbl] a.值得相望的;可取的
desire[di’zai] vt.相望;要求n.愿望
desk[desk] n.书桌,办公桌
despair[dis’p] n.绝望vi.绝望
desperate[‘desprit] a.拼死的;绝望的
despise[dis’paiz] vt.鄙视,蔑视
despite[dis’pait] prep.不管,不顾
destination[desti’nein] n.目的地,终点;目标
destroy[dis’tri] vt.破坏;消灭;打破
destruction[dis’trkn] n.破坏,毁灭,消灭
detail[‘di:teil] n.细节;枝节;零件
detect[di’tekt] vt.察觉,发觉;侦察
detection[di’tekn] n.察觉,发觉;侦察
determination[dit:mi’nein] n.决心;决定;确定
determine[di’t:min] vt.决定;查明;决心
develop[di’velp] vt.发展;形成;开发
development[di’velpmnt] n.发展;开发;生长
device[di’vais] n.器械,装置;设计
devil[‘devl] n.魔鬼,恶魔
devise[di’vaiz] vt.设计,发明
devote[di’vut] vt.将…奉献,致力于
dew[dju:] n.露,露水
diagram[‘daiɡrm] n.图解,图表,简图
dial[‘dail] n.钟面;拨号盘vt.拨
dialect[‘dailekt] n.方言,土语,地方话
dialog[‘dailɡ] n.对话,对白
diameter[dai’mit] n.直径
diamond[‘daimnd] n.金钢石,钻石;菱形
diary[‘dairi] n.日记,日记簿
dictate[dik’teit] vt.&vi.口授;命令
dictation[dik’tein] n.口授笔录,听写
dictionary[‘diknri] n.词典,字典
die[dai] vi.死,死亡;灭亡
differ[‘dif] vi.不同,相异
difference[‘difrns] n.差别;差;分歧
different[‘difrnt] a.差异的;各种的
difficult[‘difiklt] a.困难的;难对付的
difficulty[‘difiklti] a.困难;难事;困境
dig[diɡ] vt.掘,挖;采掘
digest[dai’dest] vt.消化;领会n.文摘
digital[‘diditl] a.数字的,计数的
diligent[‘dilidnt] a.勤勉的,勤奋的
dim[dim] a.昏暗的;朦胧的
dimension[di’menn] n.尺寸,尺度;面积
dinner[‘din] n.正餐,主餐;宴会
dip[dip] vt.浸,蘸vi.浸一浸
direct[di’rekt] a.直接的;直率的
direction[di’rekn] n.方向,方位;指导
directly[di’rektli] ad.直接地;立即
director[di’rekt，d’rekt(r)，da-] n.指导者;理事;导演
dirt[d:t] n.尘,土;污物,污垢
dirty[‘d:ti] a.脏的;下流的
disable[dis’eibl] vt.使无能,使伤残
disadvantage[disd’vɑ:ntid] n.不利,不利地位
disagree[dis’ɡri:] vi.有分歧;不一致
disappear[dis’pi] vi.不见,失踪;消失
disappoint[dis’pint] vt.使失望,使受挫折
disaster[di’zɑ:st] n.灾难,灾祸;天灾
disk[disk] n.圆盘,唱片;磁盘
discard[dis’kɑ:d] vt.丢弃,抛弃,遗弃
discharge[dis’tɑ:d] vt.释放;排出n.释放
discipline[‘disiplin] n.纪律;训练vt.训练
disclose[dis’kluz] vt.揭开,揭发;透露
discourage[dis’krid] vt.使泄气,使灰心
discover[dis’kv] vt.发现;暴露,显示
discovery[dis’kvri] n.发现;被发现的事物
discuss[dis’ks] vt.讨论,谈论;论述
discussion[dis’kn] n.讨论,谈论;论述
disease[di’zi:z] n.病,疾病;病害
disguise[dis’ɡaiz] vi.隐瞒,掩埋n.假装
disgust[dis’ɡst] n.厌恶,憎恶
dish[di] n.碟,盘子;菜肴
dishonour[dis’n] n.不光彩;丢脸的人
dislike[dis’laik] vt.&n.不喜爱,厌恶
dismiss[dis’mis] vt.不再考虑;解雇
disorder[dis’:d] n.混乱,杂乱;骚乱
display[dis’plei] vt.陈列,展览;显示
disposal[dis’puzl] n.丢掉,处理,销毁
dispose[dis’puz] vi.去掉,丢掉;销毁
displease[ds’pli:z] vt.使不愉快,使生气
dispute[dis’pju:t] vi.争论,争执n.争论
dissatisfy[ds’stsfa] vi.使不满,使不平
dissolve[di‘zlv] vt.使溶解;解散
distance[‘distns] n.距离,间距;远处
distant[‘distnt] a.在远处的,疏远的
distinct[dis’tikt] a.与其他不同的
distinction[dis’tikn] n.差别,不同,区分
distinguish[dis’tiɡwi] vt.区别,辨别,认别
distress[dis’tres] n.忧虑,悲伤;不幸
distribute[dis’tribju:t] vt.分发,分送;分布
distribution[distri’bju:n] n.分发,分配;分布
district[‘distrikt] n.区;地区,区域
disturb[dis’t:b] vt.打扰,扰乱;弄乱
ditch[dit] n.沟,沟渠,渠道
dive[daiv] vi.跳水;潜水;俯冲
diverse[dai’vs，da’vs] a.不一样的,相异的
divide[di’vaid] vt.分;分配;分开
division[di’vin] n.分,分配;除法
divorce[di’v:sei] n.离婚,离异vi.离婚
do[du:,du,d,d] aux.v.vt.做,干,办
dock[dk] n.船坞;码头;船厂
doctor[‘dkt] n.医生,医师;博士
document[‘dkjumnt] n.公文,文件;证件
dog[dɡ] n.狗,犬,犬科动物
dollar[‘dl] n.元(货币单位)
domestic[d’mestik] a.本国的;家庭的
donkey[dki] n.驴;笨蛋
door[d:] n.门,通道;一家
dorm[d:m] n.宿舍
dormitory[‘d:mitri] n.集体寝室;宿舍
dose[dus] n.剂量,用量;一剂
dot[dt] n.点,圆点vt.打点于
double[‘dbl] a.两倍的;双的
doubt[daut] n.怀疑;疑虑vt.怀疑
doubtful[‘dautful] a.难以预测的;怀疑的
doubtless[‘dautlis] ad.无疑地;很可能
down[daun] ad.向下,在下面
downstairs[‘daun’stz] ad.在楼下a.楼下的
downward[‘daunwd] a.向下的ad.向下地
dozen[‘dzn] n.一打,十二个
draft[drɑ:ft] n.草稿;汇票vt.起草
drag[drɡ] vt.拖,拉;拖曳
dragon[‘drɡn] n.龙;凶暴的人
drain[drein] vt.排去;放水n.耗竭
drama[‘drɑ:m] n.一出戏剧,剧本
dramatic[dr’mtik] a.引人注目的,戏剧的
drawvt[dr:] .画,划;拖;拨出
drawer[dr:] n.抽屉
drawing[‘dr:] n.图画,素描;绘图
dread[dred] n.畏惧;恐怖vt.惧怕
dream[dri:m] n.梦;梦想vi.做梦
dress[dres] n.女服,童装;服装
drift[drift] vi.漂流,漂泊n.漂流
drill[dril] n.钻头;操练vi.钻孔
drink[drik] vt.饮vi.喝n.饮料
drip[drip] vi.滴下;漏水n.水滴
drive[draiv] vt.驾驶;打入;驱
driver[‘draiv] n.驾驶员,司机
drop[drp] vt.使落下;降低
drought[draut] n.旱灾,干旱
drown[draun] vi.淹死,溺死
drug[drɡ] n.药,药物,药材
drum[drm] n.鼓;鼓状物,圆桶
drunk[drk] a.醉的;陶醉的
dry[drai] a.干的,干燥的
duck[dk] n.鸭,雌鸭;鸭肉
due[dju:] a.预期的;应给的
dull[dl] a.枯燥的;不鲜明的
dumb[dm] a.哑的;无言的
dump[dmp] vt.倾卸,倾倒;倾销
durable[‘djurbl] a.耐久的,耐用的
duration[dju’rein] n.持续,持久
during[‘djuri] prep.在…期间
dusk[dsk] n.薄暮,黄昏,幽暗
dust[dst] n.尘土,灰尘
duty[‘dju:ti] n.职责;责任;税
dwelling[‘dwel] n.住处,寓所
dye[dai] vt.染n.染料;染色
dying[‘da] a.垂死的;临终的
dynamic[dai’nmik] a.有活力的;动力的
each/i:t/ pron.各，各自a.各
eager/‘i:g/ a.渴望的，热切的
eagle/‘i:gl/ n.鹰
ear/i/ n.耳朵;听力，听觉
early/‘:li/ ad.早a.早的，早期的
earn/:n/ vt.赚得，挣得;获得
earnest/‘:nist/ a.认真的，诚恳的
earth/:θ/ n.地球;陆地，地面
earthquake/‘:θkweik/ n.地震;大震荡
ease/i:z/ n.容易，舒适vt.缓和
east/i:st/ n.东;东部ad.在东方
eastern/‘i:stn/ a.东方的;朝东的
easy/‘i:zi/ a.容易的;安逸的
eat/i:t/ vt.吃，喝vi.吃饭
echo/‘eku/ n.回声，反响vi.重复
economic/i:k’nmik/ a.经济的，经济学的
economical/i:k’nmikl/ a.节约的;经济学的
economy/i(:)’knmi/ n.经济;节约，节省
edge/ed/ n.边缘，边;刀口
edition/i’din/ n.版，版本，版次
editor/‘edit/ n.编辑，编者，校订者
educate/‘edju(:)keit/ vt.教育;培养;训练
education/edju:’kein/ n.教育;训导;教育学
effect/i’fekt/ n.结果;效果，效力
effective/i’fektiv/ a.有效的;有影响的
efficiency/i’finsi/ n.效率;功效，效能
efficient/i’fint/ a.效率高的，有能力的
effort/‘eft/ n.努力;努力的成果
egg/eg/ n.蛋，鸡蛋，卵
eight/eit/ num.八，八个，第八
eighteen/‘ei’ti:n/ num.十八，十八个
eighth/eitθ/ num.第八n.八分之一
eighty/‘eiti/ num.八十，八十个
either/‘ai,‘i:/ pron.(两者)任何一个
elaborate/i’lbrit/ a.复杂的;精心制作的
elastic/i’lstik/ n.松紧带a.有弹性的
elder/‘eld/ a.年龄较大的n.长者
elect/i’lekt/ vt.选举，推选;选择
election/i’lekn/ n.选举，选择权;当选
electric/i’lektrik/ a.电的，电动的
electrical/i’lektrikl/ a.电的，电气科学的
electricity/ilek’trisiti/ n.电，电学;电流
electron/i’lektrn/ n.电子
electronic/ilek’trnik/ a.电子的
element/‘elimnt/ n.成分;要素;元素
elementary/eli’mentri/ a.基本的;初级的
elephant/‘elifnt/ n.象
elevator/‘eliveit/ n.电梯;升降机
eleven/i’levn/ num.十一，十一个
eliminate/i’limineit/ vt.消灭，消除，排除
else/els/ ad.其它，另外a.别的
elsewhere/els’we/ ad.在别处，向别处
embarrass/im’brs/ vt.使窘迫，使为难
embrace/im’breis/ vt.拥抱;包括;包围
emerge/i’m:d/ vi.出现，涌现;冒出
emergency/i’m:dnsi/ n.紧急情况，突然事件
emit/i’mit/ vt.散发;发射;发表
emotion/i’mun/ n.情感，感情;激动
emotional/i’munl/ a.感情的，情绪的
emperor/‘empr/ n.皇帝
emphasis/‘emfsis/ n.强调，重点，重要性
emphasize/‘emfsaiz/ vt.强调，着重
empire/‘empai/ n.帝国
employ/im’pli/ vi.雇用;用;使忙于
employee/empli’i:/ n.受雇者，雇员，雇工
employer/im’pli/ n.雇佣者，雇主
employment/im’plimnt/ n.工业;雇用;使用
empty/‘empti/ a.空的;空洞的
enable/i’neibl/ vt.使能够，使可能
enclose/in’kluz/ vt.围住，圈起;附上
encounter/in’kaunt/ vt.遭遇，遇到n.遭遇
encourage/in’kΛrid/ vt.鼓励，支持，助长
end/end/ n.末端;目标vt.结束
ending/‘endi/ n.结尾，结局;死亡
endless/‘endlis/ a.无止境的
endure/in’dju/ vt.忍受;容忍
enemy/‘enimi/ n.敌人;仇敌;敌兵
energy/‘endi/ n.活力;精力;能
enforce/in’f:s/ vt.实施，执行;强制
engage/in’geid/ vt.使从事于;聘用
engine/‘endin/ n.发动机，引擎;机车
engineer/endi’ni/ n.工程师，技师
engineering/endi’niri/ n.工程，工程学
enlarge/in’la:d/ vt.扩大，扩展;放大
enormous/i’n:ms/ a.巨大的，庞大的
enough/i’nΛf/ a.足够的ad.足够地
enquire/in’kwai/ vi.vt.询问
enquiry// n.询问
ensure/in’u/ vt.保证;保护;赋予
entertain/ent’tein/ vt.使欢乐;招待
enthusiasm/in’θju:zizm/ n.热情，热心，热忱
entitle/in’taitl/ vt.给…权利(或资格)
entry/‘entri/ n.入口处;登记;进入
environment/in’vairnmnt/ n.环境，外界;围绕
envy/‘envi/ vt.&n.妒忌;羡慕
equal/‘i:kwl/ a.相等的;平等的
equality/i(:)’kwliti/ n.等同，平等;相等
equation/i’kwein/ n.方程(式);等式
equip/i’kwip/ vt.装备，配备
equipment/i’kwipmnt/ n.装备，设备，配备
equivalent/i’kwivlnt/ a.相等的;等量的
era/‘ir/ n.时代，年代;纪元
erect/i’rekt/ vt.建造;使竖立
error/‘er/ n.错误，谬误;差错
escape/is’keip/ vi.逃跑;逸出n.逃跑
especially/is’peli/ ad.特别，尤其，格外
essay/‘esei/ n.短文，散文，小品文
essential/i’senl/ a.必要的，本质的
establish/is’tbli/ vt.建立，设立;确立
establishment/is’tblimnt/ n.建立，设立，确立
estimate/‘estimit,‘estimeit/ vt.估计，评价n.估计
urope/‘jurp/ n.欧洲
uropean/jur’pi:n/ a.欧洲的n.欧洲人
evaluate/i’vljueit/ vt.评价，估…的价
evaporate/i’vpreit/ vt.使蒸发vi.蒸发
eve/i:v/ n.前夜，前夕，前一刻
even/‘i:vn/ ad.甚至;甚至更，还
even/‘i:vn/ a.均匀的;平的
evening/‘i:vni/ n.傍晚，黄昏，晚上
event/i’vent/ n.事件，大事;事变
eventually/i’ventjuli/ ad.终于;最后
ever/‘ev/ ad.在任何时候;曾经
every/‘evri/ a.每一的;每隔…的
everybody/‘evribdi/ pron.每人，人人
everyday/‘evridei/ a.每天的，日常的
everyone/‘evriwΛn/ pron.每人，人人
everything/‘evriθi/ pron.每件事，事事
everywhere/‘evriwe/ ad.到处，处处
evidence/‘evidns/ n.根据;证据，证人
evident/‘evidnt/ a.明显的，明白的
evil/‘i:vl/ n.邪恶;祸害a.坏的
evolution/i:v’lju:n/ n.进化，演化;发展
evolve/i’vlv/ vt.使进化;使发展
exact/ig’zkt/ a.确切的;精确的
exaggerate/ig’zdreit/ vt.&vi.夸大，夸张
exam/ig’zm/ n.考试;检查，细查
examination/igzmi’nein/ n.考试;检查，细查
examine/ig’zmin/ vt.检查，仔细观察
example/ig’za:mpl/ n.例子，实例;模范
exceed/ik’si:d/ vt.超过，胜过;超出
exceedingly/ik’si:dili/ ad.极端地，非常
excellent/‘ekslnt/ a.优秀的，杰出的
except/ik’sept/ prep.除…之外
exception/ik’sepn/ n.例外，除外
excess/ik’ses,‘ekses/ n.超越;过量;过度
excessive/ik’sesiv/ a.过多的，极度的
exchange/iks’teind/ vt.交换;交流n.交换
excite/ik’sait/ vt.使激动;引起
exciting/ik’saiti/ a.令人兴奋的
exclaim/iks’kleim/ vi.呼喊;惊叫
exclude/iks’klu:d/ vt.把…排除在外
exclusively/iks’klu:sivli/ ad.专门地
excursion/iks’k:n/ n.远足;短途旅行
excuse/iks’kju:z,iks’kju:s/ vt.原谅;免除n.借口
execute/‘eksikju:t/ vt.将…处死;实施
executive/ig’zekjutiv/ a.执行的n.执行者
exercise/‘ekssaiz/ n.锻炼，训练vi.练习
exert/ig’z:t/ vt.尽(力)，运用
exhaust/ig’z:st/ vt.使筋疲力尽;用尽
exhibit/ig’zibit/ vt.显示;陈列，展览
exhibition/eksi’bin/ n.展览，陈列;展览会
exist/ig’zist/ vi.存在;生存，生活
existence/ig’zistns/ n.存在，实在;生存
exit/‘eksit/ n.出口;退场vi.退出
expand/iks’pnd/ vt.扩大;使膨胀
expansion/iks’pnn/ n.扩大，扩充;扩张
expect/iks’pekt/ vt.预料，预期;等待
expectation/ekspek’tein/ n.期待，期望，预期
expense/iks’pens/ n.花费，消费;费用
expensive/iks’pensiv/ a.昂贵的，花钱多的
experience/iks’pirins/ n.经验，感受;经历
experiment/iks’perimnt/ n.实验;试验
experimental/iksperi’mentl/ a.实验的，试验的
expert/‘eksp:t/ n.专家a.熟练的
explain/iks’plein/ vt.解释;为…辩解
explanation/ekspl’nein/ n.解释，说明;辩解
explode/iks’plud/ vt.使爆炸vi.爆炸
explit/‘eksplit,iks’plit/ vt.剥削;利用;开拓
explore/iks’pl:/ vt.&vi.探险，探索
explosion/iks’plun/ n.爆炸，爆发，炸裂
explosive/iks’plusiv/ n.炸药a.爆炸的
export/eks’p:t,‘eksp:t/ vt.输出，出口;运走
expose/iks’puz/ vt.使暴露;揭露
exposure/iks’pu/ n.暴露;揭露;曝光
express/iks’pres/ vt.表示n.快车，快递
expression/iks’pren/ n.词句;表达;表情
extend/iks’tend/ vt.延长;扩大;致
extension/iks’tenn/ n.延长部分;伸展
extensive/iks’tensiv/ a.广阔的;广泛的
extent/iks’tent/ n.广度;范围;程度
exterior/eks’tiri/ a.外部的;对外的
external/eks’t:nl/ a.外部的，外面的
extra/‘ekstr/ a.额外的ad.特别地
extraordinary/iks’tr:dinri/ a.非同寻常的，特别的
extreme/iks’tri:m/ a.极度的;尽头的
eye/ai/ n.眼睛;眼力;鉴赏力
eyesight/‘aisait/ n.视力，目力
fabric/‘fbrik/ n.织物，纺织品;结构
face/feis/ n.脸;表面;外表
facility/f’siliti/ n.设备;容易;便利
fact/fkt/ n.事实;实际，实情
factor/‘fkt/ n.因素;因子，系数
factory/‘fktri/ n.工厂，制造厂
faculty/‘fklti/ n.才能，能力;系，科
fade/feid/ vi.褪色;逐渐消失
fail/feil/ vi.失败;失灵;不能
failure/‘feilj/ n.失败;失败的人
faint/feint/ a.微弱的;虚弱的
fair/fe/ a.公平的;相当的
fair/fe/ n.定期集市;博览会
fairly/‘feli/ ad.相当;公平地
faith/feiθ/ n.信任，信心;信仰
faithful/‘feiθful/ a.忠诚的;如实的
fall/f:l/ vi.落下;跌倒;陷落
false/f:ls/ a.不真实的;伪造的
fame/feim/ n.名声，名望
familiar/f’milj/ a.熟悉的;冒昧的
family/‘fmili/ n.家，家庭;家族
famine/‘fmin/ n.饥荒;严重的缺乏
famous/‘feims/ a.著名的，出名的
fan/fn/ n.(运动等)狂热爱好者
fan/fn/ n.扇子，风扇vt.扇
fancy/‘fnsi/ n.想象力;设想;爱好
far/fa:/ a.远的ad.远，遥远
fare/fe/ n.车费，船费，票价
farewell/‘fe’wel/ int.再会n.告别
farm/fa:m/ n.农场，农庄;饲养场
farmer/‘fa:m/ n.农民，农夫;农场主
farther/‘fa:/ ad.更远地a.更远的
fashion/‘fn/ n.样子，方式;风尚
fashionable/‘fnbl/ a.流行的，时髦的
fast/fa:st/ a.快的;偏快的ad.快
fasten/‘fa:sn/ vt.扎牢，扣住
fat/ft/ n.脂肪,肥肉a.肥胖的
fatal/‘feitl/ a.致命的;命运的
fate/feit/ n.命运，天数
father/‘fa:/ n.父亲;神父;创始人
fatigue/f’ti:g/ n.疲劳，劳累
fault/f:lt/ n.缺点;过失;故障
faulty/‘f:lti/ a.有错误的，有缺点的
favour/‘feiv/ n.好感;赞同;恩惠
favourable/‘feivrbl/ a.有利的;赞成的
favourite/‘feivrit/ a.特别受喜爱的
fear/fi/ n.害怕;担心vt.害怕
fearful/‘fiful/ a.害怕的，可怕的
feasible/‘fi:zbl/ a.可行的;可能的
feather/‘fe/ n.羽毛;翎毛;羽状物
feature/‘fi:t/ n.特征，特色;面貌
ebruary/‘februri/ n.二月
federal/‘fedrl/ a.联邦的;联盟的
fee/fi:/ n.费，酬金;赏金
feed/fi:d/ vt.喂(养)vi.吃饲料
feedback/‘fi:dbk/ n.回授，反馈，反应
feel/fi:l/ vi.有知觉vt.触，摸
feeling/‘fi:li/ n.感情;感觉，知觉
fellow/‘felu/ n.人，家伙;伙伴
female/‘fi:meil/ n.雌性的动物;女子
fence/fens/ n.栅栏
fertile/‘f:tail/ a.肥沃的;多产的
fertilizer/‘f:tilaiz/ n.肥料
festival/‘festvl/ n.节日;音乐节
fetch/fet/ vt.拿来;请来，接去
fever/‘fi:v/ n.发热，发烧;狂热
few/fju:/ a.很少的;少数的
fibre/‘faib/ n.纤维，纤维质
fiction/‘fikn/ n.小说;虚构，杜撰
field/fi:ld/ n.田野;田;运动场
fierce/fis/ a.凶猛的，狂热的
fifteen/‘fif’ti:n/ num.十五;十五个
fifth/fifθ/ num.第五n.五分之一
fifty/‘fifti/ num.五十，五十个
fight/fait/ vi.打(仗);斗争
figure/‘fig/ n.数字;外形;人物
file/fail/ n.档案vt.把…归档
fill/fil/ vt.装满，盛满;占满
film/film/ n.影片;胶卷;薄层
filter/‘filt/ vt.过滤n.滤纸
final/‘fainl/ a.最后的;决定性的
finally/‘fainli/ ad.最后;不可更改的
finance/fai’nns,fi-/ n.财政，金融;财源
financial/fai’nnl,fi-/ a.财政的，金融的
find/faind/ vt.找到;发觉;找出
finding/faindi/ n.发现;调查的结果
fine/fain/ a.美好的;纤细的
fine/fain/ n.罚金，罚款
finger/‘fig/ n.手指;指状物
finish/‘fini/ vt.完成，结束n.结束
fire/‘fai/ n.火;火灾vi.开火
fireman/‘faimn/ n.消防队员;司炉工
firm/f:m/ n.商行，商号，公司
first/f:st/ num.第一ad.最初
fish/fi/ n.鱼，鱼肉vi.钓鱼
fisherman/‘fimn/ n.渔民，渔夫，打鱼人
fit/fit/ vt.适合;安装vi.适合
five/faiv/ num.五，五个，第五
fix/fiks/ vt.使固定;决定
flag/flg/ n.旗，旗帜;旗舰旗
flame/fleim/ n.火焰;光辉;热情
